Word,Definition
discover,to find something new that was not known before
dead,not alive
afternoon,time after 12:00 and before the evening meal
prefer,to like something better than something else
extend,to straighten or stretch something out (e.g.-- your leg)
possibility,something with a chance of happening or being true
direction,describes the way you are going (e.g.-- north)
facility,piece of equipment or buildings with a special use
variety,particular types of things or persons
daily,happening every day
clothes,things you wear on your body (e.g.-- shirt-- dress-- tie)
screen,flat surface on a computer-- or tv that shows images
track,to follow behind someone to see what they are doing
dance,to move your body rhythmically to music
completely,in every way or as much as possible
female,person of the sex that gives birth to babies
responsibility,state of being dependable or reliable
original,being first made-- thought-- or performed; fresh
sister,female you share a parent with
rock,big stone; hard-- solid substance forming mountains
dream,images-- thoughts-- and feelings that are experienced during sleep
nor,used to show two things that are both untrue or do not happen
university,high-level educational institution; college
easily,without difficulty
agency,business that provides some service for others
dollar,a basic unit of money equal to 100 cent
garden,yard; ground outside your house to grow plants
fix,to make something whole or able to work again
ahead,in or toward the front
cross,to meet at one point
yeah,yes (informal)
weight,how heavy something is
legal,concerning the law; allowed by law
proposal,offer or plan to people who can decide about it
version,particular form of something and other forms
conversation,when you talk with other people; discussion or chat
somebody,person who is not known or named
pound,unit of weight equal to 16 ounces or 0.4536 kg
magazine,weekly or monthly publication with pictures and stories
shape,outer form of something-- what it looks like
sea,place with a large amount of salt water
immediately,without any delay; straight away; right (after or before)
welcome,friendly greeting to someone who has arrived
smile,to show happiness by pulling up the corners of your mouth
communication,talking to people; giving information to people
agent,person who can represent and decide for others
traditional,involved in a tradition
replace,to use instead of something else
judge,to form an opinion after careful consideration
herself,female person that did the original action
suddenly,in an unexpected or very quick manner
generation,people born and living at about the same time
estimate,guess or calculation of cost-- size-- or value
favorite,most liked; best loved
difficulty,something that is hard to do
purchase,to buy something; to get by paying money for it
shoot,to kick or throw a ball at a goal
announce,to make a public statement about a plan-- decision
unless,negative of 'if'
independent,making your own decisions; not controlled by others
recommend,to say something is good and deserves to be chosen
survey,to ask people a question about a particular topic
majority,amount that is more than half of a group
stick,long thin piece of wood from a tree
request,to ask for something
rich,having a lot of money-- possessions-- or resources
wind,natural movement of outside air as part of the weather
none,not one of a group; not at all or in no way
exchange,to give things of similar value to each other
budget,amount of money planned to be spent on something
famous,widely known; recognized by many people
blood,red liquid in the bodies of people and animals
appropriate,right or suitable for some situation or purpose
block,to stop from going forward or making progress
warm,slightly hot; not very hot
count,to add things together to find the total number
scene,part of an act in a play
writer,professional who writes books-- articles-- etc.
content,information in something (e.g.-- a book or computer program)
prevent,to stop something from happening or existing
safe,being out of danger
invite,to ask someone to go somewhere or do something
mix,to combine two or more things to make one
element,essential or particular part of something
effective,working efficiently to produce a desired result
correct,true or accurate
medical,of or relating to physical health or medicine
admit,to agree that you did something bad-- or that something bad is true
beat,to win against another person or team; defeat
telephone,machine used to talk to someone who is far away
copy,to make something that looks the same as the original
committee,group of people who do or decide something
aware,knowing or feeling that something exists
advice,suggestion about what someone should do
handle,to have the ability to cope with or take responsibility for
glass,hard transparent material used for making windows
trial,concerning or used in a trial
stress,to be in a state of mental tension due to problems
radio,system for sending and receiving signals through the air
administration,the work of running something (e.g.-- a business)
complex,difficult-- not easy to understand or explain
text,written part of a book or other work
context,set of facts surrounding a person or event
ride,to sit on and control a horse or vehicle
directly,in a frank and honest way
heavy,having a lot of weight
remove,to move-- erase or take away from a place
conduct,to direct-- lead or guide something
equipment,tools or materials used to perform a task
otherwise,indicates that there will be a bad result if something is done-- not done-- or done improperly
title,name given to something to identify or describe it
extra,more than necessary; additional
executive,a senior manager in a business or organization
chair,a piece of furniture you sit on when sitting at a table or desk
expensive,costing a lot of money
sample,to try something to see if you like it (e.g.-- food)
sex,state of being male or female mostly biological
deliver,to take something to a person or place
video,recording capturing action with sound
connection,something that joins things together; being joined
primary,most important-- most basic or essential
weather,whether it is raining-- sunny-- cold-- etc.-- outside
collect,to gather things/people together in one place
inform,to give information or facts about something
principle,strong belief that influences a person's actions; basic law or belief
straight,not having curves-- bends-- or angles
appeal,to request a judge or others change a decision
highly,more than usual; to a great degree
trust,to be confident that someone is honest and reliable
wonderful,producing feelings of enjoyment or delight
flat,level; even; without curves or bumps
absolutely,completely; totally; very
flow,to move steadily and easily in a certain direction
fair,treating all people the same way
additional,further or added
responsible,having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner
farm,land used for growing crops or raising animals
collection,group of similar things gathered as a hobby
hang,to attach a picture-- photograph-- etc.-- onto a wall
negative,being harmful-- unwanted-- or unhelpful
band,group of people who work together (e.g.-- play music)
relative,measured or considered in comparison to something else
tour,a journey to visit several places for pleasure
alternative,other choices
software,market for software is expected to expand
pair,two of the same thing (e.g.-- socks)
ship,large boat
attitude,way you act-- think-- and feel about something
cheap,not costing a lot of money
double,two times the amount or degree; twice
leg,part of the body from the thigh down
observe,to watch carefully; to make a comment
sentence,set of spoken or written words that make a whole statement
print,to make many copies of a page-- magazine-- or book
progress,to move forward or toward a place or goal
truth,real facts about something
nobody,no person; no one; not any person
examine,to look at someone or something very carefully in order to learn more
lay,to put or set something down in a flat position
speed,quality of being fast or quick
politics,activities influencing the policies of a government
reply,answer someone's question
display,to put so they can be seen or be bought
transfer,to move something from one place to another
perfect,so good it/they cannot be improved
slightly,concerning a small quantity or degree
overall,viewed as a whole; in general-- not as details
intend,to plan or want to do something
user,person that uses a service or thing (e.g.-- a website)
respond,to say or write to answer the question
dinner,main meal of the day-- usually in the evening in the us
slow,moving or happening without speed; not fast
regular,occurring or being done frequently
physical,concerning the body of a person
apart,separated by an amount of time or space
suit,to be appropriate for a given situation
federal,system of government
reveal,to make known-- to show or prove
percentage,part of a whole divided into hundredths
peace,time when there is no war or fighting
status,position or rank relative to others in a society
crime,act that is against the law; murder-- theft-- etc.
decline,to not accept an invitation or offer; refuse
decade,period of 10 years
launch,to put a rocket into the air; put a ship into the water
warn,to tell someone about possible danger
consumer,person who uses goods or services; individual buyer
favor,helpful act of kindness
dry,without water; not wet
partner,someone you have a business or personal relationship with
institution,organization created for a particular cause or purpose
spot,see someone by chance
horse,large animal with 4 legs used for riding
eventually,finally
heat,to make hot or hotter
excite,to make someone feel happy-- interested-- or eager
reader,person who reads written or printed materials
importance,being important; having a big effect on
distance,amount of space between two places or things
guide,to lead people visiting a new or unknown place
grant,to give or let someone do what they want
taxi,car that transports people for money
feed,to give food (e.g.-- to an animal or a baby)
pain,strong feeling of hurt or discomfort
sector,area that includes certain kinds of job
mistake,something done wrong-- calculated wrong.; error
ensure,to make something sure-- certain-- or safe
satisfy,to be happy because you met your expectation
chief,most important one
cool,almost cold; not warm or hot
expert,skillful person with special knowledge
wave,to move your hand or arm to say hello or goodbye
south,direction that is the opposite of north
labor,to work hard (often physically) for many hours
surface,of the top layer; superficial
library,place where books and other media are kept
excellent,extremely good
edge,boundary of a surface
camp,place where people live for a short time in tents
audience,group of people listening-- watch a play-- movie-- etc.
lift,to move something to higher position
procedure,usual or standard way in which something is done
e-mail,a system for sending messages electronically-- especially from one computer to another using the internet
global,concerning-- affecting-- or involving the entire world
struggle,to try very hard to do something difficult
advertise,to show how good a product is-- to make people buy
select,to choose from a group-- something most suitable
surround,to be on every side of something
extent,range or space included in something
river,flowing water that runs from mountains to the sea
annual,happening once a year-- or every year
fully,completely or entirely
contrast,to compare; to show clear-- obvious differences
roll,to move along a surface by turning many times
reality,what is true-- as opposed to what is imagined
photograph,a picture made with a camera that shows how things look in real life
artist,a person who is skilled and creative in art-- such as a painter
conflict,to have opposite ideas; to disagree; to not match
entire,complete or full; with no part left out; whole
presence,fact that someone or something is in a particular place
crowd,large group of people together in one place
corner,place where two lines-- sides-- corners-- etc.-- meet
gas,elements in our air-- like oxygen or nitrogen
shift,to change in position or direction
net,material made of string tied together and used to catch fish or other small animals
category,groups of things that are similar in some way
secretary,an employee who does general office work for another person in the office
defense,process of protecting something from attack
quick,using very little time; moving far in little time
cook,to heat food until it is ready to eat
spread,to place something over or cover a large area
nuclear,concerning or involving the center of an atom
scale,a device that is used to weigh a person or thing
driver,someone who operates a vehicle
ball,small round object often used in a game or sport
cry,to produce tears and sounds because of pain
introduction,making someone known to another by name
requirement,something that is a necessity
north,direction to your left when facing the rising sun
confirm,to provide evidence to establish the truth of
senior,having higher status or authority than another person
photo,short for photograph; a picture taken by a camera
refuse,to say that you will not accept something
transport,to carry things from one place to another
emerge,to rise or appear out of some background
map,picture showing the geography of an area
concept,abstract idea of something or how it works
island,area of land that is surrounded by water
reform,to improve society by removing abuse and injustices
neither,not one or the other; not either; none of two things
football,sport where 2 teams try to kick a ball in a goal; soccer
survive,to continue to live despite illness or trouble
flight,act of flying
left,side of your body your heart is on
solve,to find a way to deal with a problem
neighbor,person who lives-- or is near-- you
background,images-- color-- or information behind the main one
technique,way of doing by using special knowledge or skill
traffic,amount of activity over a communication system
improvement,addition or change that makes something better
tool,device used to make things (e.g.-- a hammer or driver)
consequence,outcome of an event; result
circumstance,condition or fact that affects a situation
smoke,to breathe in through a cigarette and then blow it out
reaction,feeling or action in response to something
rain,drops of water that fall out of clouds in the sky
busy,working hard doing something; full of activity
lesson,a time or event where teaching and learning occur; class
brain,part of the head that thinks and controls your body
mass,a large amount of something-- often of no particular shape
funny,causing laughter; amusing
contribute,give something of value to or help someone or something
failure,act or result of not achieving your goals
schedule,to arrange a time to do something with others
speaker,person who makes a speech before a group
bottom,lowest part of something; part on which it rests
adopt,to take on responsibility for something
combine,to mix several things together to form one thing
mountain,very high piece of land-- higher than a hill
waste,to use valuable things ineffectively
hide,to put a thing where it can't be found; go where you won't be found
marriage,formal relationship between a husband and a wife
ticket,piece of paper that lets you enter or use something
meal,food for eating at a particular time (e.g.-- dinner)
colleague,someone who works with you; coworker
bag,soft container to put things in and carry with you
repeat,to say something again
equal,same in shape-- size-- or number
expression,act of making your thoughts and feelings known
plus,having a value greater than zero
extremely,in a way that is much more than usual or expected
owner,person who owns or has something
plane,an airplane
commercial,radio or television advertisement
lady,another way of saying 'woman'
duty,work required by your job or position
strength,being strong
connect,to join or attach things together
cultural,of a particular society's customs and beliefs
arrange,to put things into a particular order; to plan and organize an event
scheme,often dishonest plan to get or do something
payment,amount of money that is paid for something
unfortunately,in a way that is to be regretted; unluckily
brief,short; using few words
bird,animal with feathers that uses wings to fly
demonstrate,to show how something works (e.g.-- product)
contribution,helping a cause by giving money-- things-- services
appreciate,to be thankful for; to value or admire
chapter,one of the main sections of a book
secret,something that you don't want others to know; private
apparently,according to what you heard; from what can be seen
novel,written fiction story
union,organization of people or groups who have a similar interest or particular goal
burn,to destroy with fire
trend,general direction of developing-- proceeding
initial,existing or occurring at the beginning
pleasure,feeling of happiness-- enjoyment-- or satisfaction
suggestion,idea about what someone should do
critical,being important or serious; vital; dangerous
gather,to bring people/animals together into a group
mostly,in large part; mainly or chiefly
earth,planet we live on
pop,to cause something to open or burst suddenly
essential,extremely important and necessary
desire,to wish for-- hope-- or want something
promote,to try to encourage the popularity and sales of a product
currently,happening or being in the present time
employ,to pay a person to work for you; to give a job to
path,track made with stones/by walking over the ground
topic,matter people talk or write about
beach,large area of sand-- next to an area of water
attract,to make someone notice and become interested in
engage,to carry out-- participate in; be involved in
powerful,having control or influence over
flower,plant with a pretty head (e.g.-- a rose)
crisis,unstable situation of extreme danger or difficulty
settle,to move to a new environment and become accustomed to it
boat,small form of transport for traveling on water
aid,to provide things useful or needed by others
fan,thing you wave in front of your face to stay cool
kitchen,place where food is cooked
twice,two times
fresh,newly made or gathered
delay,to cause something to happen later than planned or expected
safety,state of being free from harm or danger
engineer,professional who designs and builds machines-- roads-- and other complicated structures
quiet,not loud; making very little sound
insurance,payments to cover potential loss/damage/injury/death
nurse,person trained to care for sick or injured people
divide,to separate something into equal pieces
length,measurement of distance or of time
investigation,search for information about something
package,box or container in which items are placed for mailing
somewhere,at or to an unknown or unnamed place
expand,to become bigger or larger in size and amount
commit,to do something bad-- usually a crime
obvious,easily understood and clear; plain to see
jump,to push your body into the air with your legs
weapon,something that is used for fighting
relatively,in a manner that measures or compares something to something else
host,person who entertains guests
winter,coldest season of the year
district,area of a country-- city-- or town
broad,wide; from the shorter two sides to the other
tire,lose energy and feel that you need to rest
spring,time of year when plants start growing after winter
spirit,part of a person that is not physical and believed to be the source of human emotions and character
lunch,light meal eaten in the middle of the day
actual,real or existing in fact-- not imagined; real
pool,large container or hole that is filled with water and used for people to swim in
battle,military fight between armies
tradition,way of thinking-- and behaving that was used for a long time
cash,physical money (not credit card or digital)
hardly,clearly or undoubtedly not; very little
award,to give a prize for doing something well
coach,person who teaches others how to do (sport-- job)
experiment,test performed to assess new ideas or theories
consideration,careful thought; thinking about something
strange,unusual or odd; surprising because unexpected
code,a password made of a set of letters or numbers
possibly,may be true or likely-- but is uncertain
threat,warning of probable trouble
accident,sudden unplanned event causing damage-- injury-- etc.
impossible,very unlikely to happen or exist
revenue,money that is made by or paid to a business
enable,to make it possible to do something
afraid,worried that something bad will happen; scared
active,moving around a lot or doing many things
conclude,to stop or finish; to come to the end of something
religious,concerning religion or faith
cancer,any growth caused by abnormal cell division
convince,to persuade someone-- or make them feel sure
vary,to be changeable-- both up and down
environmental,of the natural world in which plants and animals live
sun,the hot shining star the earth moves around
healthy,in good condition physically (or financially); not ill or bad
blow,to move something using air
volume,level of sound produced by an object-- such as a radio or television
location,particular position or area
invest,to use resources to build for the future
proceed,to continue to do something; carry on
wash,to clean someone or something with soap and water
actor,person who acts in the theater-- movies-- or tv
glad,happy that something happened; pleased
tape,to stick things together using an adhesive strip
whereas,taking into consideration the fact that
opposite,across from or on the side facing something
stone,hard-- solid piece of rock
sum,amount when all is added together; total
murder,crime of deliberately killing a person
monitor,electronic screen on which you can see images
soldier,person who is in the military
finance,control of money a person/business has access to
hate,to have a very strong feeling of dislike for
egg,hard-shelled thing from which a young bird is born
concert,musical entertainment given in public by one or more performers
shock,sudden bad feeling caused by something unexpected
comfortable,not being worried about something; at ease
usual,being the way things occur most of the time
carefully,in a manner that involves focus and care
pack,to put things in a suitcase to go on a trip
recall,to remember events or details of the past
wine,alcoholic drink made from the juice of grapes
camera,object that takes pictures digitally-- or on film
swim,to move through water by moving parts of the body
manufacture,to produce large numbers of products in a factory
theater,place where shows are performed on a stage
cycle,series of regular and repeated actions
coffee,a brown drink made from roasted beans and boiled water
totally,in a complete way; completely; absolutely
museum,building to display art-- science-- or history objects
visitor,one who goes to a place to see it (or someone)
freedom,state of being free-- not being controlled
construction,act of building something; thing that is built
dear,loved or valued very much
objective,something you decide you want to do; goal
moreover,in addition to what has been said
onto,movement towards a position that is on something
historical,of or related to events or people in the past
oppose,to be against someone in a contest-- game-- or fight; to disagree
branch,a part of a tree that grows out from the main part; a part of an organization connected to but separate from the main office
vehicle,machine (such as a car) that is used to carry things
scientist,a person who is trained to gain knowledge by making predictions-- testing them-- and developing theories
route,way to get from one place to another place
bind,to join two or more things together to limit their freedom
belong,to be a member of a particular group and feel welcomed
taste,the particular quality of food or drink that can be sensed by a person's mouth
tonight,night following this day
fashion,style of dress or activity popular at some time
danger,possibility of getting hurt-- damaged-- or killed
bomb,a weapon designed to break apart very suddenly and violently
army,large group of soldiers organized to fight in wars
dangerous,involving the chance of hurt or damage; risky
decrease,to reduce the size-- amount-- or number of something
hurt,to cause pain-- damage-- or injury
council,group chosen to make decisions about something
editor,a person whose job is to correct and make changes to the contents of a book or magazine
normally,in the manner that is usual or ordinary
sight,the ability to see 
generate,to create or be produced or bring into existence
gift,something given to another for a reason; present
delivery,act of taking something to a person or place
deny,to refuse to allow or accept something
guest,person invited to visit or stay in someone's home
anybody,any person; anyone
bedroom,room for sleeping usually with a bed
quote,to use someone's exact words in your writing or speech
climb,to rise gradually and steadily to a higher point
basically,in the most important ways even if not completely true
violence,use of physical force to harm someone or damage something
minister,an official who heads a government department
mainly,mostly; usually; being the largest part
mouth,part of the face used for eating and talking
noise,a loud or unpleasant sound 
manner,that way that something happens or is done
gun,a weapon that shoots small metal objects down a metal tube
square,shape with four sides of equal length sides and four right (90°) angles
occasion,particular time when something important or special happens
familiar,well-known or easily recognized
ignore,to not listen to-- look at-- or pay attention to
destroy,to damage something so badly that it no longer exists
affair,event or a set of events-- often unpleasant ones
civil,related to the people of a country; not military/criminal
locate,to find a certain place-- position-- or location of something
citizen,person who belongs to and has rights in a country
temperature,a measure of how hot or cold something is (e.g.-- the weather)
gold,soft yellow metal that is very valuable
domestic,of or relating to a particular country; of or relating to the home and family
load,large-- often heavy-- amount of something to be moved
belief,a feeling of being sure that something exists or is true
troop,group of soldiers; an organized group
technical,of practical use of machines or science in industry
remind,to make someone remember something
arrangement,plan or preparation to make something happen; an agreement
skin,outer layer of an animal's or human's body
prison,a place where people who have committed serious crimes are held
switch,to change from one thing to another; a thing you move to change from one thing to another
acquire,to get or earn something by thinking or working
corporate,concerning (usually large) companies
fairly,in a reasonable way; between a little and very much
wood,hard material that trees are made of and is used for building and fuel
participate,to take part with others in doing something
tough,very difficult to do or deal with
tear,noun-- 1. (v) to damage something by pulling it apart; 2. (n) drop of salty water from the eye
representative,typical of a particular group or thing
capacity,ability to hold-- involve or contain people or things
border,line separating one country or state from another
shake,to move something violently back and forth or up and down
assessment,opinion based on judging the qualities of something or someone
shoe,outer covering worn on the foot to protect it usually sold in pairs
ought,what is expected; should
ad,public notice or advertisement
fee,amount of money paid for a particular service
hall,a usually long-- narrow room in a building that leads to other rooms
regulation,official rule that controls how something is done
escape,to get away from a place where you are being held
studio,the building or room where art is made-- such as paintings-- movies-- or music
proper,correct according to social or moral rules
relax,to stop feeling nervous or worried; to rest and do something enjoyable
tourist,someone who travels to a place for pleasure
component,one of the parts that make up something
afford,to have enough money to pay for something
lawyer,a professional who is paid to help people with the law
suspect,to think that someone may have committed a crime or done something wrong 
cup,small round container used to hold liquids for drinking
description,something that tells you what something is like or looks like
confidence,feeling that you can do well at something
industrial,concerning the people and businesses that make certain products
complain,to say that you are not happy or satisfied with something or someone
perspective,way of thinking-- an attitude toward something
error,something that is not correct; a mistake
arrest,to use the law to catch and keep people who committed crimes
assess,to judge something's value or suitability
register,to record your name on an official list; sign up
asset,a person or thing that has value or use to someone or to a company
signal,An action-- change-- or process that gives information about something
finger,one of the five long parts of the hand
relevant,direct related to a subject in a considerable way
explore,to learn about something by examining in detail or someplace by traveling to it
leadership,quality of being able to guide or influence others
commitment,a promise or decision to do something; something that you must do that takes your time
wake,to stop sleeping; to make someone stop sleeping
necessarily,in a way that is needed or required-- or is unavoidable
bright,producing a lot of light
frame,(n) 1. the basic structure of something that gives it its shape-- to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime
slowly,done in a way that takes a long time
bond,something that joins or connects people-- groups-- or parts; a duty or promise to another; glue
hire,to employ a person to do a particular job
hole,opening into or through something
tie,to join together two ends of string or rope; to join two or more things together with string or rope
internal,within or inside
chain,series of connected things-- events-- or people
literature,writings that are valued as works of art-- esp. fiction-- drama and poetry
victim,person who has suffered from a crime-- bad situation-- or event
threaten,to say you will harm or hurt someone
division,act of separating something into parts; groups formed by different functions or opinions
secure,to protect something from danger or harm-- keep things safe
amaze,to cause wonder; to surprise completely
device,object-- machine-- or equipment for a specific use
birth,when a baby comes out of the body of its mother
forest,large area with many trees
label,a piece of paper or cloth that is attached to something and gives information about it
root,part of a plant that grows underground
factory,building where things are made
expense,the amount of money that is needed to pay for something
channel,1. a narrow-- deep body of water used by ships; 2. a system used for sending something from one place or person to another
investigate,to try to find out facts; to carry out research
recommendation,suggestion about someone or something being a good choice
rank,to place someone or something in higher or lower position relative to others
typical,normal; usual; expected
west,the direction where the sun sets; opposite of east
friendly,acting like a friend; kind and helpful
resident,someone who lives in a particular place
provision,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement
concentrate,to give all your attention to a task; focus
plenty,a large amount of something; a lot; not too little
export,to send goods to be sold in another country
entirely,fully or completely
strongly,in a strong manner; in a very serious way
bridge,structure built over river or road so people-- vehicles-- or animals can cross
consist,to have as an essential-- necessary or main part
graduate,(v) to receive a degree from a college or university; (n) a person who has received a degree
brand,name given to a product or service
moral,relating to people's belief about right or wrong behavior
insist,to state your opinion strongly and firmly; to demand that something must happen
combination,result of mixing things together
abuse,to treat someone or something in a way that is cruel-- harmful-- or wrong
ice,frozen water 
principal,1. most important; main; 2. the person in charge of a (US) public school
master,1. someone who has control over others; 2. someone who is very skilled at doing something
definitely,without question; beyond doubt
session,period of time for doing a particular activity
grade,level of study that is completed by a student
nevertheless,despite what has just been done or said; nonetheless
predict,to guess or estimate what will or might happen
previously,at an earlier time
protection,being kept from harm
largely,in large part; mainly or chiefly
wed,to marry; to get married
rent,to pay money for the use of something
shot,the act of firing a gun-- or kicking or throwing a ball at a goal
appearance,way that someone or something looks
reasonable,fair and sensible; appropriate
guarantee,to make a formal promise that something will happen or be done.
till,until
theme,main subject to discuss or describe
judgment,opinion that is made after careful consideration
odd,being strange or different from what is usual or expected
approve,to have a positive opinion of someone or something
loan,something (usually money) that is given to someone for a period of time with a promise that it will be returned
definition,explanation of word's meaning-- as in dictionaries
elect,choose someone for a position usually by voting 
atmosphere,The mixture of gases surrounding the Earth; the feeling that a place or situation gives you
farmer,someone who owns or looks after farm-- a place for growing crops and keeping animals
comparison,looking for differences and similarities in two or more things
characteristic,a typical feature or quality that a particular person or thing has
license,official document which allows a person to do or have something
rely,able to depend on
narrow,long but not wide; a small distance from one side to the other compared to length
succeed,to finally achieve something that you were trying to achieve
identity,who someone is; the collection of qualities that makes a person
desk,a piece of furniture like a table often with drawers
permit,to allow someone to do something or for something to happen
seriously,in a serious way; in a way that shows something is important
wild,living in nature; not tame
empty,containing nothing; with no contents
commission,a group officially put in charge of finding out about something or controlling something
unique,unlike other things; being the only one like it
association,organization of people with the same interest
instrument,a piece of equipment used for a particular purpose such as making music or measuring something
investor,a person who gives money to help a business grow for a profit
practical,relating to what is sensible-- real-- or useful rather than with ideas or theories
tea,drink made when you put dried leaves in hot water
lovely,attractive or beautiful
soft,easy to press-- bend or cut; not hard or firm
row,a straight line of people or things; one after another
youth,when you are young; a young person
lock,to close something with a device so others can't open it
fuel,material used to produce heat or power when burned
expectation,a belief or hope that something is going to happen
employment,having a job; work done for money
celebrate,to observe an event or occasion (e.g.-- a birthday)
sexual,concerning physical activity that can produce babies
shoulder,the part of the body where an arm attaches or joins
breath,air you take in and out of your body
increasingly,more and more; in greater degree or amount
import,to bring items or goods from one country into another
bottle,a container with a narrow neck used to hold liquids like water or wine
ourselves,used by a speaker to show that they and one or more people are affected by their action
sheet,a large piece of fabric or material that is used to cover something-- often a bed
engine,a machine that changes energy into motion
cast,to send-- throw-- or move something or someone in a direction
notion,idea or opinion about doing something
conservative,preferring traditional styles and values
journey,traveling from one place to another; trip
opposition,act of disagreeing or trying to stop something
relief,the pleasant and relaxed feeling when something unpleasant stops or does not happen
debt,the sum of money owed to somebody that is not yet paid
honor,respect given to someone who is admired
outcome,something that happens as a result-- consequence
blame,to say someone is responsible for something bad
explanation,details or reasons given to make something clear
arise,to begin-- to start to happen
musical,play or movie set to music
recover,to become healthy after an illness or injury; to get better
dad,father
stretch,to make something bigger or looser by pulling on it
declare,to say something in an official or sure way
retire,to stop working because you have reached a certain age
tiny,very-- very small
careful,thinking about what you are doing in order to avoid a mistake
suitable,acceptable or right for someone or something
native,being from or living in the place where you were born
fruit,food that grows on a tree or bush
analyze,to study carefully to find out the meaning of
witness,a person who sees something happen
mail,a letter-- package-- or email
terrible,very bad; horrible
researcher,a person who studies something carefully to learn new information
ordinary,not special-- different-- or unusual
selection,the act of carefully choosing something or someone from a group
anywhere,in-- at-- or to any place; used in questions-- with 'not'
mental,concerning the mind
participant,a person who is actively involved and included in something
vision,ability to see things with your eyes
personality,person's character; the way that a person usually acts
specifically,in a well-defined or clear manner; in particular
fat,oily part of meat
entry,the act of going into some place
fellow,someone in the same group or situation; a boy or man
chemical,a basic substance produced by mixing elements
capture,to catch and prevent a person/animal from being free
tip,a small piece of advice; the end of something
discount,an amount of money taken off the usual price of something
peak,the time or place when something or someone is best-- greatest-- highest
chairman,a person in charge of a meeting
proportion,an amount that is a part of a whole thing
ear,the part of the head that you hear with
disappear,to become impossible to see
shout,to speak very loudly because you want to get their attention
yard,outdoor area or garden next to a house
constant,happening frequently or without pause
significantly,in a way that is important or noticeable
hill,an area of land that is higher than the land around it but smaller than a mountain
considerable,large in size-- amount-- or effect
instruction,information about how to do or use something
intelligence,ability to learn-- think about-- and understand things
ideal,perfect; most suitable; best possible
folk,ordinary people
surely,with certainty; definitely
guard,to keep watch over something to protect it e.g.-- a bank
cat,a small animal of the lion and tiger family with four legs and a tail that is kept as a pet
somewhat,little-- not very
kiss,to put your lips against another's to show love
presentation,act of giving a formal talk about something
joint,1. (n.) place where two things meet; 2. (adj.) done together
compete,to try to win something such as a race or game
poll,to get information by asking many people questions about a particular subject
weak,having little power; not strong; easy to break
faith,a strong belief that someone or something is honest and good
reduction,making something smaller; reducing something
reserve,1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something
complaint,saying something is wrong and should be changed
bore,to make someone not interested in something
mission,a special task or job that is given to a person or group
somehow,in a way that is not known or certain
tone,sound of a voice that shows emotion or meaning
neighborhood,area of a town or city that people live in
passenger,A person who is traveling in a vehicle
justice,quality of being fair-- equal-- or just
phase,distinct part or step in a process
thin,not thick; not wide in size
rush,to do something very quickly
formal,suitable for serious-- official-- or important occasions
religion,set of beliefs about a god or gods
employer,person or firm that pays people to work for them
reject,to refuse to believe-- accept-- or consider
latter,the second or last mentioned thing
plate,a flat dish used for eating or serving food
ban,to make something illegal or not allowed
steal,to secretly take something that belongs to another
protest,to express opposition through action or words
index,a written or printed list of topics or words in a particular order
sad,feeling unhappy; wishing something hadn't happened
frequently,often; regularly
circle,a perfectly round shape or a group arranged in that shape
helpful,doing things that help someone
command,an order; control over others
attractive,making you like them-- as by being good-looking
sick,having a physical or mental illness; not feeling well
impression,effect or feeling resulting from an experience
unable,not being able to do something
joke,to say or do things that are meant to be funny
sky,the place where we see clouds above us
column,a tall post made of stone or wood used as a support in a building; one of two or more blocks of print that appear next to each other on a page
electronic,operating by use of electricity; digital
impose,to make someone to do-- believe-- or accept something
criminal,related to illegal activity; (n) a person who has done a crime
besides,other than or in addition to
properly,in a correct or suitable way depending on the situation
ancient,very old; having lived a very long time ago
coast,land near the sea or ocean
ill,not well; sick
kick,to hit someone or something using your foot
closely,very near in space or time; just next to
multiple,many things or people
yield,to give way to someone or something else
via,by going through-- by way of
legislation,act or process of writing and passing laws
county,an area within a country or a state with its own local government
unlike,appearing or being different
mobile,able to move from one place to another
assistant,a person who helps another-- usually as a job
implement,to start and carry out a plan or government policy; (n) tool
chart,drawing showing information in a clear way
attach,to be associated or connected with
hell,any place of pain and suffering
everywhere,every place
advise,to suggest what should be done
household,all the people who live in a house; a family
acknowledge,to accept that something is true
reward,to give something to someone because of their good work
east,the direction where the sun rises
hat,something people wear to cover their heads for fashion or protection
academic,related to education or school; (n) educator who works at a college or university
voter,a person who can vote in an election
meanwhile,at or during the same time; in the meantime
furthermore,in addition to what has been said
accuse,to say that someone has done something bad or wrong
scientific,related to science
wage,money paid to workers for the hours they worked
absence,a time when you are not in a place where you should be
construct,to build or create something
remark,to say an opinion or make a comment about something
medicine,liquid or pills used to treat illness or pain; the study of treating illness or pain
professor,a teacher of high rank in a university or college
rare,not common or usual
intention,plan-- aim-- or purpose
dozen,a group of twelve people or things
settlement,an official agreement that ends an argument or fight between people or groups
gap,a space between two things
widely,by or among a large number of people
minimum,lowest number or amount that is possible
northern,in or toward the north
estate,land that a person owns
equally,in an equal-- similar-- or identical way
expose,to show something that is usually hidden-- covered-- or protected
alive,living; not dead
